dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,22.823880,25.168128,0.125000,1.250000,6.250000,31.250000,5.744233
0.200000,23.199283,24.924742,0.572397,2.236987,4.934935,-6.575324,5.668577
0.200000,23.818276,24.396863,1.385914,4.067583,9.152980,21.090222,5.470477
0.200000,24.482214,23.148031,2.800267,7.071766,15.020916,29.339683,4.886060
0.200000,24.016296,21.371863,4.636528,9.181302,10.547681,-22.366177,4.090471
0.200000,22.787606,20.205221,6.330851,8.471618,-3.548423,-70.480518,3.741878
0.200000,21.044954,19.410564,8.246136,9.576424,5.524032,45.362275,3.430679
0.200000,19.176077,18.957631,10.169116,9.614897,0.192363,-26.658345,3.380248
0.200000,17.584872,18.366832,11.866460,8.486721,-5.640880,-29.166219,3.688927
0.200000,16.431786,17.211656,13.498648,8.160941,-1.628902,20.059892,4.055731
0.200000,15.182788,15.591447,15.544393,10.228725,10.338922,59.839121,4.007656
0.200000,13.432293,14.074331,17.860828,11.582178,6.767266,-17.858284,3.665241
0.200000,11.290464,13.346744,20.122866,11.310190,-1.359943,-40.636042,3.316485
0.200000,9.522109,13.099748,21.908388,8.927607,-11.912914,-52.764855,3.290580
0.200000,7.997924,12.894040,23.446391,7.690018,-6.187945,28.624841,3.256571
0.200000,6.708227,12.768430,24.742191,6.478997,-6.055105,0.664201,3.220025
0.200000,5.668141,12.703511,25.784300,5.210549,-6.342239,-1.435670,3.187356
0.200000,4.882346,12.677849,26.570515,3.931073,-6.397379,-0.275699,3.160864
0.200000,4.353644,12.672565,27.099243,2.643641,-6.437158,-0.198893,3.142199
0.200000,4.083415,12.673720,27.369475,1.351158,-6.462419,-0.126307,3.132407
0.200000,4.013024,12.674458,27.439870,0.351975,-4.995914,7.332524,3.129828
0.200000,4.013024,12.674458,27.439870,0.000000,-1.759873,16.180205,3.129828
