dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,22.332027,24.345640,0.125000,1.250000,6.250000,31.250000,5.744233
0.200000,22.646670,24.141783,0.500000,2.500000,6.250000,0.000000,5.668577
0.200000,23.122380,23.737975,1.125000,3.750000,6.250000,0.000000,5.470477
0.200000,23.538295,22.982431,2.000000,5.000000,6.250000,0.000000,4.886060
0.200000,23.237397,21.930184,3.125000,6.250000,6.250000,0.000000,4.090471
0.200000,22.246264,20.996015,4.500000,7.500000,6.250000,0.000000,3.741878
0.200000,20.771755,20.329133,6.125000,8.750000,6.250000,0.000000,3.430679
0.200000,18.949530,19.888804,8.000000,10.000000,6.250000,0.000000,3.380248
0.200000,17.086142,19.185168,10.000000,10.000000,0.000000,-31.250000,3.688927
0.200000,15.672749,17.796693,12.000000,10.000000,0.000000,0.000000,4.055731
0.200000,14.452743,16.212286,14.000000,10.000000,0.000000,0.000000,4.007656
0.200000,12.953085,14.904250,16.000000,10.000000,0.000000,0.000000,3.665241
0.200000,11.123711,14.290460,17.942924,9.429243,-2.853785,-14.268925,3.316485
0.200000,9.379857,14.047466,19.703773,8.179243,-6.250000,-16.981075,3.290580
0.200000,7.887979,13.846047,21.214622,6.929243,-6.250000,0.000000,3.256571
0.200000,6.633140,13.723819,22.475470,5.679243,-6.250000,0.000000,3.220025
0.200000,5.624300,13.660842,23.486319,4.429243,-6.250000,0.000000,3.187356
0.200000,4.863879,13.636006,24.247167,3.179243,-6.250000,0.000000,3.160864
0.200000,4.353063,13.630900,24.758016,1.929243,-6.250000,-0.000000,3.142199
0.200000,4.092218,13.632015,25.018865,0.679243,-6.250000,0.000000,3.132407
0.200000,4.024297,13.632726,25.086789,0.000000,-3.396215,14.268925,3.129828
0.200000,4.024297,13.632726,25.086789,0.000000,0.000000,16.981075,3.129828
