dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,21.840174,23.523152,0.125000,1.250000,6.250000,31.250000,5.744233
0.200000,22.094057,23.358824,0.427424,1.512121,1.310606,-24.696969,5.668577
0.200000,22.426483,23.079086,0.861890,2.172330,3.301045,9.952196,5.470477
0.200000,22.594377,22.816831,1.173283,1.556965,-3.076826,-31.889357,4.886060
0.200000,22.458498,22.488505,1.528615,1.776660,1.098475,20.876507,4.090471
0.200000,21.704921,21.786808,2.558303,5.148438,16.858890,78.802072,3.741878
0.200000,20.498556,21.247702,3.879649,6.606728,7.291451,-47.837191,3.430679
0.200000,18.722984,20.819976,5.706013,9.131820,12.625456,26.670022,3.380248
0.200000,16.587412,20.003504,7.992340,11.431638,11.499093,-5.631817,3.688927
0.200000,14.913712,18.381731,10.322881,11.652704,1.105327,-51.968826,4.055731
0.200000,13.722699,16.833125,12.276517,9.768181,-9.422615,-52.639709,4.007656
0.200000,12.473876,15.734169,13.940026,8.317544,-7.253185,10.847147,3.665241
0.200000,10.956958,15.234176,15.537221,7.985978,-1.657827,27.976792,3.316485
0.200000,9.237605,14.995185,17.273105,8.679419,3.467205,25.625156,3.290580
0.200000,7.778034,14.798054,18.745928,7.364112,-6.576536,-50.218702,3.256571
0.200000,6.558052,14.679207,19.971685,6.128787,-6.176624,1.999561,3.220025
0.200000,5.580458,14.618174,20.951183,4.897488,-6.156499,0.100622,3.187356
0.200000,4.845412,14.594163,21.686621,3.677191,-6.101485,0.275071,3.160864
0.200000,4.352483,14.589234,22.179575,2.464770,-6.062101,0.196921,3.142199
0.200000,4.101021,14.590309,22.431039,1.257318,-6.037262,0.124196,3.132407
0.200000,4.035571,14.590995,22.496492,0.327268,-4.650249,6.935064,3.129828
0.200000,4.035571,14.590995,22.496492,0.000000,-1.636341,15.069539,3.129828
