dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,22.823880,25.168128,0.125000,1.250000,6.250000,31.250000,5.744233
0.200000,23.199283,24.924742,0.572397,2.236987,4.934935,-6.575324,5.668577
0.200000,23.818276,24.396863,1.385914,4.067583,9.152980,21.090222,5.470477
0.200000,24.482214,23.148031,2.800267,7.071766,15.020916,29.339683,4.886060
0.200000,24.016296,21.371863,4.636528,9.181302,10.547681,-22.366177,4.090471
0.200000,22.826309,20.226449,6.288206,8.258392,-4.614553,-75.811169,3.787534
0.200000,21.385944,19.262032,8.021628,8.667109,2.043587,33.290700,3.673415
0.200000,19.580437,18.369120,10.035865,10.071183,7.020372,24.883923,3.526223
0.200000,17.521348,17.728009,12.192452,10.782936,3.558763,-17.308041,3.360235
0.200000,15.476991,17.408323,14.261654,10.346010,-2.184629,-28.716963,3.274251
0.200000,13.496528,17.140541,16.260138,9.992423,-1.767938,2.083456,3.275832
0.200000,11.538370,16.883758,18.235061,9.874614,-0.589041,5.894483,3.266312
0.200000,9.726411,16.672146,20.059335,9.121370,-3.766222,-15.885903,3.247856
0.200000,8.154581,16.522140,21.638307,7.894858,-6.132560,-11.831691,3.224488
0.200000,6.827455,16.427985,22.968769,6.652310,-6.212740,-0.400896,3.199566
0.200000,5.749371,16.377922,24.048014,5.396228,-6.280410,-0.338351,3.175923
0.200000,4.923755,16.357755,24.873877,4.129312,-6.334581,-0.270858,3.155822
0.200000,4.352901,16.353841,25.444744,2.854334,-6.374888,-0.201533,3.140943
0.200000,4.038109,16.355383,25.759539,1.573978,-6.401782,-0.134469,3.132404
0.200000,3.944840,16.356361,25.852813,0.466371,-5.538032,4.318747,3.129828
0.200000,3.944840,16.356361,25.852813,0.000000,-2.331857,16.030879,3.129828
