dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,22.332027,24.345640,0.125000,1.250000,6.250000,31.250000,5.744233
0.200000,22.646670,24.141783,0.500000,2.500000,6.250000,0.000000,5.668577
0.200000,23.122380,23.737975,1.125000,3.750000,6.250000,0.000000,5.470477
0.200000,23.538295,22.982431,2.000000,5.000000,6.250000,0.000000,4.886060
0.200000,23.237397,21.930184,3.125000,6.250000,6.250000,0.000000,4.090471
0.200000,22.249439,20.991712,4.500000,7.500000,6.250000,0.000000,3.787534
0.200000,20.899968,20.088006,6.125000,8.750000,6.250000,0.000000,3.673415
0.200000,19.220854,19.257437,8.000000,10.000000,6.250000,0.000000,3.526223
0.200000,17.313481,18.663529,10.000000,10.000000,0.000000,-31.250000,3.360235
0.200000,15.350232,18.358237,12.000000,10.000000,0.000000,0.000000,3.274251
0.200000,13.368267,18.090254,14.000000,10.000000,0.000000,0.000000,3.275832
0.200000,11.419157,17.834649,15.965806,9.658065,-1.709676,-8.548379,3.266312
0.200000,9.624767,17.625075,17.772419,8.408065,-6.250000,-22.701621,3.247856
0.200000,8.075231,17.477184,19.329032,7.158065,-6.250000,-0.000000,3.224488
0.200000,6.771928,17.384710,20.635645,5.908065,-6.250000,0.000000,3.199566
0.200000,5.716477,17.335692,21.692258,4.658065,-6.250000,0.000000,3.175923
0.200000,4.910119,17.315993,22.498871,3.408065,-6.250000,0.000000,3.155822
0.200000,4.353524,17.312176,23.055484,2.158065,-6.250000,0.000000,3.140943
0.200000,4.046916,17.313678,23.362097,0.908065,-6.250000,0.000000,3.132404
0.200000,3.956114,17.314629,23.452904,0.000000,-4.540324,8.548379,3.129828
0.200000,3.956114,17.314629,23.452904,0.000000,0.000000,22.701621,3.129828
