dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,21.840174,23.523152,0.125000,1.250000,6.250000,31.250000,5.744233
0.200000,22.094057,23.358824,0.427424,1.512121,1.310606,-24.696969,5.668577
0.200000,22.426483,23.079086,0.861890,2.172330,3.301045,9.952196,5.470477
0.200000,22.594377,22.816831,1.173283,1.556965,-3.076826,-31.889357,4.886060
0.200000,22.458498,22.488505,1.528615,1.776660,1.098475,20.876507,4.090471
0.200000,21.672569,21.756974,2.602311,5.368478,17.959087,84.303059,3.787534
0.200000,20.413991,20.913980,4.117124,7.574066,11.027941,-34.655729,3.673415
0.200000,18.861271,20.145753,5.849496,8.661859,5.438963,-27.944890,3.526223
0.200000,17.105614,19.599049,7.688304,9.194042,2.660915,-13.890243,3.360235
0.200000,15.223473,19.308152,9.592793,9.522445,1.642015,-5.094500,3.274251
0.200000,13.240007,19.039967,11.594308,10.007574,2.425645,3.918151,3.275832
0.200000,11.299944,18.785540,13.550983,9.783375,-1.120994,-17.733197,3.266312
0.200000,9.523122,18.578005,15.339883,8.944502,-4.194362,-15.366839,3.247856
0.200000,7.995881,18.432228,16.874067,7.670917,-6.367926,-10.867820,3.224488
0.200000,6.716402,18.341435,18.156763,6.413481,-6.287179,0.403736,3.199566
0.200000,5.683584,18.293463,19.190694,5.169655,-6.219130,0.340243,3.175923
0.200000,4.896483,18.274231,19.978030,3.936682,-6.164865,0.271327,3.155822
0.200000,4.354147,18.270511,20.520379,2.711744,-6.124691,0.200871,3.140943
0.200000,4.055722,18.271973,20.818807,1.492142,-6.098009,0.133407,3.132404
0.200000,3.967388,18.272898,20.907146,0.441694,-5.252242,4.228836,3.129828
0.200000,3.967388,18.272898,20.907146,0.000000,-2.208469,15.218867,3.129828
