dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,22.766550,25.105859,0.125000,1.250000,6.250000,31.250000,5.755165
0.200000,23.113262,24.895779,0.530392,2.026960,3.884802,-11.825989,5.720407
0.200000,23.688347,24.501255,1.227796,3.487018,7.300290,17.077437,5.637429
0.200000,24.479811,23.763722,2.309632,5.409183,9.610824,11.552672,5.398123
0.200000,24.925241,21.913025,4.213179,9.517732,20.542743,54.659597,4.411805
0.200000,23.703961,20.450076,6.118892,9.528566,0.054169,-102.442872,3.766123
0.200000,22.316910,19.546195,7.774462,8.277851,-6.253574,-31.538716,3.730928
0.200000,19.744568,19.269693,10.361622,12.935799,23.289739,147.716566,2.651990
0.200000,18.074904,19.625844,12.068848,8.536132,-21.998333,-226.440359,2.963875
0.200000,16.086044,20.012502,14.094945,10.130484,7.971759,149.850461,2.933964
0.200000,14.104656,20.467935,16.128001,10.165281,0.173987,-38.988863,2.896046
0.200000,12.137440,21.007799,18.167951,10.199747,0.172328,-0.008291,2.850185
0.200000,10.193206,21.646818,20.214506,10.232778,0.165154,-0.035873,2.796700
0.200000,8.282972,22.397810,22.267062,10.262779,0.150008,-0.075727,2.736279
0.200000,6.547872,23.092497,24.136062,9.345001,-4.588892,-23.694504,2.794338
0.200000,4.957959,23.607233,25.807222,8.355799,-4.946008,-1.785578,2.864499
0.200000,3.577095,23.950398,27.230088,7.114331,-6.207341,-6.306665,2.932785
0.200000,2.417236,24.159323,28.408614,5.892627,-6.108519,0.494111,2.994705
0.200000,1.486907,24.272460,29.345796,4.685913,-6.033570,0.374742,3.046825
0.200000,0.791093,24.324603,30.043562,3.488828,-5.985424,0.240731,3.086917
0.200000,0.332094,24.343561,30.502953,2.296953,-5.959375,0.130244,3.113762
0.200000,0.110661,24.348281,30.724436,1.107415,-5.947693,0.058414,3.126801
0.200000,0.059368,24.348963,30.775733,0.256489,-4.254627,8.465326,3.129828
0.200000,0.059368,24.348963,30.775733,0.000000,-1.282446,14.860907,3.129828
