dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,22.325704,24.350029,0.125000,1.250000,6.250000,31.250000,5.755165
0.200000,22.646416,24.155725,0.500000,2.500000,6.250000,0.000000,5.720407
0.200000,23.161770,23.802440,1.125000,3.750000,6.250000,0.000000,5.637429
0.200000,23.802601,23.209636,2.000000,5.000000,6.250000,0.000000,5.398123
0.200000,24.089473,22.172094,3.125000,6.250000,6.250000,0.000000,4.411805
0.200000,23.192335,21.159909,4.500000,7.500000,6.250000,0.000000,3.766123
0.200000,21.830578,20.273592,6.125000,8.750000,6.250000,0.000000,3.730928
0.200000,20.156060,20.041897,8.000000,10.000000,6.250000,0.000000,2.651990
0.200000,18.229590,20.487063,10.000000,10.000000,0.000000,-31.250000,2.963875
0.200000,16.266417,20.868709,12.000000,10.000000,0.000000,0.000000,2.933964
0.200000,14.317357,21.316689,14.000000,10.000000,0.000000,0.000000,2.896046
0.200000,12.388828,21.845909,16.000000,10.000000,0.000000,0.000000,2.850185
0.200000,10.489040,22.470290,18.000000,10.000000,0.000000,0.000000,2.796700
0.200000,8.627991,23.201916,20.000000,10.000000,0.000000,0.000000,2.736279
0.200000,6.845650,23.915269,21.928947,9.289468,-3.552660,-17.763302,2.794338
0.200000,5.197326,24.448856,23.661840,8.039468,-6.250000,-13.486698,2.864499
0.200000,3.758477,24.806392,25.144734,6.789468,-6.250000,0.000000,2.932785
0.200000,2.545301,25.024901,26.377628,5.539468,-6.250000,-0.000000,2.994705
0.200000,1.569705,25.143533,27.360521,4.289468,-6.250000,0.000000,3.046825
0.200000,0.838910,25.198296,28.093415,3.039468,-6.250000,0.000000,3.086917
0.200000,0.356442,25.218222,28.576308,1.789468,-6.250000,0.000000,3.113762
0.200000,0.123603,25.223186,28.809202,0.539468,-6.250000,0.000000,3.126801
0.200000,0.069661,25.223902,28.863149,0.000000,-2.697340,17.763302,3.129828
0.200000,0.069661,25.223902,28.863149,0.000000,0.000000,13.486698,3.129828
