dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,21.842871,23.522213,0.125000,1.250000,6.250000,31.250000,5.755165
0.200000,22.135108,23.345188,0.466673,1.708365,2.291827,-19.790864,5.720407
0.200000,22.585041,23.037071,1.011995,2.726609,5.091219,13.996957,5.637429
0.200000,23.060894,22.602779,1.656235,3.221200,2.472955,-13.091316,5.398123
0.200000,23.174106,22.455836,1.841732,0.927487,-11.468566,-69.707605,4.411805
0.200000,22.631980,21.937347,2.591887,3.750772,14.116425,127.924951,3.766123
0.200000,21.297927,21.070266,4.182964,7.955387,21.023074,34.533247,3.730928
0.200000,20.606741,20.887647,4.897868,3.574520,-21.904335,-214.637042,2.651990
0.200000,18.399008,21.430304,7.171316,11.367238,38.963590,304.339620,2.963875
0.200000,16.463968,21.806461,9.142577,9.856307,-7.554655,-232.591224,2.933964
0.200000,14.550316,22.246278,11.106121,9.817721,-0.192928,36.808635,2.896046
0.200000,12.664159,22.763841,13.062000,9.779392,-0.191648,0.006400,2.850185
0.200000,10.813050,23.372191,15.010510,9.742553,-0.184193,0.037276,2.796700
0.200000,9.005869,24.082605,16.952311,9.709003,-0.167748,0.082226,2.736279
0.200000,7.171788,24.816401,18.927737,9.877133,0.840649,5.041983,2.794338
0.200000,5.459489,25.370635,20.727499,8.998808,-4.391624,-26.161364,2.864499
0.200000,3.957133,25.743911,22.275533,7.740169,-6.293196,-9.507860,2.932785
0.200000,2.685563,25.972916,23.567560,6.460134,-6.400177,-0.534906,2.994705
0.200000,1.660389,26.097568,24.600285,5.163624,-6.482551,-0.411873,3.046825
0.200000,0.891281,26.155199,25.371549,3.856321,-6.536512,-0.269803,3.086917
0.200000,0.383110,26.176186,25.880153,2.543022,-6.566497,-0.149926,3.113762
0.200000,0.137778,26.181416,26.125541,1.226938,-6.580418,-0.069606,3.126801
0.200000,0.080935,26.182171,26.182389,0.284240,-4.713490,9.334641,3.129828
0.200000,0.080935,26.182171,26.182389,0.000000,-1.421201,16.461444,3.129828
